name,food_group
kiwi,fruits
pineapple,fruits
custard apple,fruits
star fruit,fruits
papaya,fruits
lime,fruits
lemon,fruits
pummelo,fruits
"mandarin orange (clementine, tangerine)",fruits
orange,fruits
quince,fruits
japanese persimmon,fruits
black crowberry,fruits
loquat,fruits
wax apple,fruits
fig,fruits
strawberry,fruits
black huckleberry,fruits
sea-buckthornberry,fruits
lichee,fruits
apple,fruits
mango,fruits
medlar,fruits
mulberry,fruits
black mulberry,fruits
passion fruit,fruits
date,fruits
black chokeberry,fruits
"prunus (cherry, plum)",fruits
apricot,fruits
sweet cherry,fruits
sour cherry,fruits
european plum,fruits
peach,fruits
guava,fruits
pomegranate,fruits
pear,fruits
blackcurrant,fruits
redcurrant,fruits
gooseberry,fruits
"rubus (blackberry, raspberry)",fruits
cloudberry,fruits
red raspberry,fruits
black raspberry,fruits
black elderberry,fruits
rowanberry,fruits
tamarind,fruits
blueberry,fruits
"vaccinium (blueberry, cranberry, huckleberry)",fruits
lowbush blueberry,fruits
sparkleberry,fruits
highbush blueberry,fruits
american cranberry,fruits
bilberry,fruits
lingonberry,fruits
muscadine grape,fruits
common grape,fruits
arctic blackberry,fruits
banana,fruits
bayberry,fruits
elliott's blueberry,fruits
canada blueberry,fruits
bog bilberry,fruits
buffalo currant,fruits
european cranberry,fruits
deerberry,fruits
cascade huckleberry,fruits
oval-leaf huckleberry,fruits
evergreen huckleberry,fruits
red huckleberry,fruits
longan,fruits
summer grape,fruits
fox grape,fruits
nectarine,fruits
peach (var.),fruits
rambutan,fruits
half-highbush blueberry,fruits
grapefruit/pummelo hybrid,fruits
grapefruit,fruits
jostaberry,fruits
sweet rowanberry,fruits
skunk currant,fruits
abiyuch,fruits
acerola,fruits
asian pear,fruits
breadfruit,fruits
natal plum,fruits
cherimoya,fruits
coconut,fruits
malus (crab apple),fruits
squashberry,fruits
durian,fruits
elderberry,fruits
grape,fruits
alaska blueberry,fruits
jackfruit,fruits
java plum,fruits
jujube,fruits
kumquat,fruits
loganberry,fruits
mammee apple,fruits
purple mangosteen,fruits
ohelo berry,fruits
common persimmon,fruits
pitanga,fruits
plains prickly pear,fruits
french plantain,fruits
prickly pear,fruits
malabar plum,fruits
salmonberry,fruits
sapodilla,fruits
mamey sapote,fruits
soursop,fruits
strawberry guava,fruits
sugar apple,fruits
boysenberry,fruits
persian lime,fruits
feijoa,fruits
common chokecherry,fruits
persimmon,fruits
fruit preserve,fruits
other fruit product,fruits
fruit salad,fruits
nance,fruits
naranjilla,fruits
chinese bayberry,fruits
pomes,fruits
citrus,fruits
fruits,fruits
saskatoon berry,fruits
nanking cherry,fruits
savoy cabbage,vegetables
allium (onion),vegetables
garden onion,vegetables
leek,vegetables
burdock,vegetables
asparagus,vegetables
common beet,vegetables
chinese mustard,vegetables
swede,vegetables
rape,vegetables
common cabbage,vegetables
cauliflower,vegetables
brussel sprouts,vegetables
kohlrabi,vegetables
broccoli,vegetables
chinese cabbage,vegetables
pepper (c. annuum),vegetables
endive,vegetables
chicory,vegetables
globe artichoke,vegetables
wild carrot,vegetables
rocket salad (ssp.),vegetables
swamp cabbage,vegetables
sweet potato,vegetables
lettuce,vegetables
garden cress,vegetables
olive,vegetables
parsnip,vegetables
avocado,vegetables
radish,vegetables
garden rhubarb,vegetables
garden tomato,vegetables
cherry tomato,vegetables
garden tomato (var.),vegetables
eggplant,vegetables
potato,vegetables
spinach,vegetables
celeriac,vegetables
celery stalks,vegetables
garden onion (var.),vegetables
pepper (c. baccatum),vegetables
pepper (c. chinense),vegetables
pepper (capsicum),vegetables
swiss chard,vegetables
tronchuda cabbage,vegetables
shallot,vegetables
rocket salad,vegetables
carrot,vegetables
black cabbage,vegetables
chicory leaves,vegetables
komatsuna,vegetables
pak choy,vegetables
napa cabbage,vegetables
chicory roots,vegetables
kai-lan,vegetables
oxheart cabbage,vegetables
daikon radish,vegetables
black radish,vegetables
radish (var.),vegetables
red beetroot,vegetables
arrowhead,vegetables
arrowroot,vegetables
bamboo shoots,vegetables
rapini,vegetables
giant butterbur,vegetables
cardoon,vegetables
carob,vegetables
cassava,vegetables
chinese broccoli,vegetables
chinese water chestnut,vegetables
garland chrysanthemum,vegetables
corn salad,vegetables
oregon yampah,vegetables
groundcherry,vegetables
horseradish tree,vegetables
jerusalem artichoke,vegetables
jute,vegetables
kale,vegetables
lambsquarters,vegetables
wild leek,vegetables
sacred lotus,vegetables
malabar spinach,vegetables
alpine sweetvetch,vegetables
mountain yam,vegetables
mustard spinach,vegetables
new zealand spinach,vegetables
nopal,vegetables
okra,vegetables
pepper (c. frutescens),vegetables
american pokeweed,vegetables
prairie turnip,vegetables
common salsify,vegetables
sesbania flower,vegetables
taro,vegetables
mexican groundcherry,vegetables
yam,vegetables
jicama,vegetables
yautia,vegetables
alaska wild rhubarb,vegetables
jew's ear,vegetables
common mushroom,vegetables
shiitake,vegetables
enokitake,vegetables
oyster mushroom,vegetables
mushroom,vegetables
cloud ear fungus,vegetables
maitake,vegetables
ostrich fern,vegetables
agave,vegetables
narrowleaf cattail,vegetables
chanterelle,vegetables
black salsify,vegetables
thistle,vegetables
